CLR_TAX	CO01	CO02	CO03	CO04	CO05	CO06	CO07	CO08	CO09	CO10	CO11	CO12	CO13	CO14	CO15	CO16	CO17	CO18	CO19	CO20	CO21	CO22	CO23	CO24	CO25	CO26	CO27	CO28	CO29	CO30	CO31	CO32	CO33	CO34	CO35	CO36	CO37	CO38	CO39	CO40	CO41	CO42	CO43	CO44	CO45	CO46	CO47	CO48	CO49	CO50	CO51	CO52	CO53	CO54	CO55	CO56	CO57	CO58	CO59	CO60	CO61	CO62	GS01	GS02	GS03	GS04	GS05	GS06	GS07	GS08	GS09	GS10	GS11	GS12	GS13	GS14	GS15	GS16	GS17	GS18	GS19	GS20	GS21	GS22	GS23	GS24	GS25	GS26	GS27	GS28	GS29	GS30	GS31	GS32	GS33	GS34	GS35	GS36	GS37	GS38	GS39	GS40	GS41	GS42	GS43	GS44	GS45	GS46	GS47	GS48	GS49	GS50	GS51	GS52	GS53	GS54	GS55	GS56	GS57	GS58	GS59	GS60	GS61	GS62	GS63	GS64	GR01	GR02	GR03	GR04	GR05	GR06	GR07	GR08	GR09	GR10	GR11	GR12	GR13	GR14	GR15	GR16	GR17	GR18	GR19	GR20	GR21	GR22	GR23	GR24	GR25	GR26	GR27	GR28	GR29	GR30	GR31	GR32	GR33	GR34	GR35	GR36
Faecalibacterium prausnitzii strain CNCM I 4541	-0.94364057	-0.538175462	0.442653791	-0.94364057	-0.027349838	-0.538175462	-0.25049339	2.582719955	0.309122398	-0.94364057	-0.94364057	0.848118899	0.442653791	1.07126245	-0.538175462	0.154971719	1.253584007	0.154971719	1.253584007	5.295660141	-0.027349838	1.828948152	-0.538175462	-0.538175462	3.729188264	0.560436827	0.154971719	-0.94364057	-0.538175462	-0.538175462	-0.25049339	-0.94364057	0.560436827	-0.25049339	-0.94364057	0.154971719	2.333504163	0.442653791	0	-0.538175462	-0.94364057	0	-0.027349838	-0.027349838	0.560436827	2.457556812	-0.027349838	1.358944523	-0.25049339	4.357173677	0.665797342	0.309122398	-0.538175462	-0.538175462	-1.636787751	-0.538175462	-0.25049339	-0.94364057	2.440749693	1.002269579	0.154971719	0.928161607	0.442653791	0.848118899	-0.25049339	-0.94364057	-0.94364057	-0.94364057	-0.538175462	-0.94364057	-1.636787751	-0.538175462	-0.538175462	0.761107522	1.135800972	0.154971719	-0.94364057	-0.94364057	-0.538175462	-0.538175462	-0.94364057	-0.94364057	-0.94364057	3.054560132	0.309122398	-0.538175462	-0.027349838	-0.027349838	1.358944523	-0.538175462	-1.636787751	-1.636787751	-1.636787751	-0.538175462	-0.538175462	0.442653791	0.154971719	-0.94364057	-1.636787751	-0.25049339	-0.94364057	-0.538175462	0.442653791	0.761107522	0.665797342	-0.25049339	-0.538175462	-0.25049339	-0.027349838	-0.027349838	-0.027349838	5.55011327	-0.94364057	-0.027349838	-0.25049339	0.560436827	0.442653791	-1.636787751	1.196425593	0.442653791	-0.94364057	0.154971719	-0.027349838	0.665797342	2.552866991	0.560436827	0	0	-0.25049339	0	0	0.154971719	-0.538175462	-0.25049339	-1.636787751	-1.636787751	0	0	0	0	0	0	0	-1.636787751	-0.94364057	0	-0.94364057	-0.538175462	-1.636787751	-1.636787751	0.848118899	0.665797342	-1.636787751	-1.636787751	-0.94364057	-0.94364057	1.407734687	0	0	0	0	0.154971719
Faecalibacterium prausnitzii strain CNCM I 4542	0.308932626	0.169494542	0.440621923	-0.213542848	2.145229207	0.157232808	0.14759086	-0.005407082	0.334515417	-0.960757249	-0.173634876	0.529481531	0.532782642	0.314804634	0.37831804	0.454973784	1.27216089	0.800132286	0.443714709	0.667372796	0.37831804	-0.074688013	-0.504208513	-0.352907649	-0.036531625	0.132951352	0.594403776	0.656615555	0.780480998	1.141739322	1.374820527	-0.147268	0.081805888	0.239434832	-1.131821652	-0.77216608	-0.17077637	0.964882957	-2.574396849	0.359460021	-0.277088813	-1.886526725	1.526243642	-0.068656112	0.397905173	0.00342477	0.568393341	0.474626722	0.401132717	0.250734387	0.069909837	-0.051619925	0.597056298	0.496833408	0.121651796	-0.416533345	0.263757827	1.244818107	0.415529127	-0.006213859	0.740363154	0.522846435	0.731911317	0.418172533	0.995284095	0.479604333	1.43694742	-0.027421831	0.321224265	-0.175545096	-0.330333327	-0.258220329	-0.238682432	0.394126491	0.192914816	-0.693727222	-0.089490199	-0.086862077	0.700162619	1.026226435	-1.012381615	-0.101846932	-0.21155872	0.712039243	1.089164797	-0.168875228	0.158602671	0.166103559	1.425829805	-0.719744949	-1.043774327	-0.895825724	0.377218534	-0.874444929	-1.287632083	0.763430919	-0.572916849	0.262524781	0.192253222	0.141343009	-0.067797374	-0.192903294	1.137633594	1.205717507	1.091860217	0.999130822	-0.065225577	0.468620698	0.501701967	0.654116595	0.27417778	0.220957084	0.384343804	-0.160364539	-0.260299331	-0.260299331	-0.444912795	-0.19387653	0.300653454	0.678015549	0.699764292	0.658278066	-0.365544233	-0.315928646	0.429199161	0.893967176	-1.559929237	-1.567592109	0.926883991	-2.299960003	-2.084848623	0.435964735	-0.688923369	0.198191873	-0.283458261	-0.146339063	-1.790735661	-1.952124008	-2.144667119	-2.316089385	-1.668688226	-1.146859529	-1.119460555	-0.734682986	-0.47928919	-1.952124008	0.690960713	0.930686277	0.94761989	0.986350146	-0.565829647	-0.659023424	-0.897792293	-0.082497164	-0.071236759	-0.071236759	0.123071243	-1.583096296	-2.046869375	-2.131061467	-0.083368623	1.348514036
Faecalibacterium prausnitzii strain CNCM I 4573	0.810873667	0.024260758	0.244697948	1.327375458	0.640176591	-0.046604038	1.488516661	1.440507442	1.495523307	-0.96561833	0.294262106	0.045982581	0.231741749	0.262159775	-0.843803031	1.061033583	0.601576123	-0.286201342	0.404639032	1.926771592	-0.161783937	1.278711491	1.278470556	1.376405984	0.979317318	-0.23785016	1.886925683	-0.218284318	1.431656916	0.547508902	0.698652061	0.604889736	0.550008279	1.051403656	0.262825333	0.285194686	1.064322568	0.066433192	-3.794296519	-0.15065585	-0.335798284	-2.290219122	1.145696192	1.310716119	0.967219737	0.794196918	1.396735403	1.181110083	-0.42039128	0.973450287	1.257283839	0.826141139	-0.15065585	1.980135574	-0.891185735	1.09257636	1.589492578	-0.477317216	0.448136428	0.758770328	-0.069530306	1.142112453	1.681523118	1.378370406	0.092014123	-0.715567326	-0.67227052	-1.312600145	-0.551103387	-0.520058765	-0.634028121	0.509248688	0.610074758	0.691743571	0.334077792	-0.947599825	1.916639793	1.978820649	-0.328560616	0.770452233	0.64518229	1.345115291	1.268541912	1.13434973	1.904344556	-0.302461863	-0.053883415	-0.051147435	0.306437841	-0.587804753	-1.271649541	-0.929900248	0.327862731	-0.286201342	-1.424771943	1.656906992	0.241984242	-0.53177193	-0.829816789	-0.183378606	-0.316613043	1.361215818	0.462406703	0.906533436	0.79263136	1.267567965	0.272755901	-0.525898198	-0.375309596	1.530587875	-0.188589666	0.462406703	-0.189635144	-0.141642269	-0.277026966	0.292325997	0.121565263	-0.337009671	0.93002329	0.644274024	0.013220306	0.38481331	0.152499453	1.21377138	0.099092407	0.14579052	-1.887607083	-1.910729501	0.024260758	-2.670366422	-2.273269564	0.201784789	-0.432319851	0.053393072	-1.293491283	-1.241252064	-2.232111491	-3.027041366	-2.457273207	-2.541533551	-2.273269564	-1.290341674	-1.271649541	-0.561669523	-0.320182351	-2.657943902	-0.945370169	-0.66215239	-1.815951094	-1.826646383	-0.551103387	-0.684205871	-1.112221804	-0.330967356	-0.294298553	-0.204387783	0.362782053	-2.21611115	-2.519793564	-3.651195675	-0.406002542	0.37296483
Oscillibacter sp. 57_20	0.745952001	0.188760456	1.75666991	0.262262918	1.304179863	-0.868352101	0.188760456	-0.251190828	0.109423714	0.136574703	2.387866502	-0.291464727	0.16300796	1.467809287	-1.214628338	0.524021306	0.659822847	0.947504919	0.820753214	0.422022138	-0.650098535	1.258717489	0.997805658	1.767214823	1.852622351	-0.199897533	0.30842496	0.30842496	0.685933991	0.873396947	-0.423041085	0.380920462	1.593943102	1.873274395	-0.5388729	0.765183363	0.784051847	-0.504386724	-3.483311879	0.675571204	-1.586191895	-1.809335446	-0.731776566	1.32343768	0.69107539	1.622633594	1.6406521	-0.071064662	0.003043311	-0.038629386	1.154648129	-1.026576107	1.331578838	-0.521481158	-0.00721319	0.145463651	1.394426741	-1.748710824	0.67034926	1.698471671	1.355612037	0.633011589	0.680766021	-0.556572477	-0.504386724	-0.504386724	-2.184028895	-0.69010387	-0.556572477	1.157868744	0.951465321	1.276008986	1.806637237	0.93953675	-1.403870338	-0.556572477	0.542039811	0.486980034	-0.264436055	-0.868352101	2.019305951	0.197199325	0.30842496	0.820753214	0.401682454	1.031203938	0.784051847	0.807147562	0.726343529	0.838610831	0.696190491	0.680766021	-1.180726786	-0.407536898	-0.710723157	0.461500949	0.971035417	2.251107565	2.08375955	0.943528771	0.53006362	0.571367426	-0.797734534	0.864813204	0.898714755	0.726343529	0.380920462	0.480670865	0.622082519	0.145463651	0.090904666	0.330730718	1.737043946	0.898714755	0.467931839	1.429343006	1.287372745	-1.748710824	0.127606033	2.026076457	1.154648129	-0.63068045	0.118556198	-1.147936964	-1.085416607	0.293273155	-2.502482626	-2.279339075	-0.521481158	-2.790164699	-1.69155241	1.027547627	-1.637485189	0.571367426	-0.438789442	-0.291464727	-1.214628338	-1.586191895	-2.016974811	-2.097017518	-0.84425455	-1.873873967	-1.809335446	-0.377231549	0.285610282	-3.195629807	-2.097017518	-2.097017518	-1.286087302	-1.085416607	-0.611632255	-0.753282772	-1.53740173	-0.971006255	-0.971006255	0.627561985	-1.249719658	-1.809335446	-2.016974811	-4.581924168	-1.085416607	-0.347817664
Prevotella stercorea CAG:629	-0.316801521	0.231411635	-0.332801862	-0.620483934	0.000208167	-0.620483934	4.102039087	-0.904588186	-0.710432171	-0.142448133	-0.528110614	1.096891815	-0.783635575	-0.822350087	-1.042209563	0.68755823	0.403744634	2.635542638	-0.809278006	0.039873423	-0.005588951	-0.176349685	0.652051541	0.658057565	-0.783635575	-0.176349685	-0.301053164	-0.653273757	-0.10322742	-0.518354439	-1.009948701	1.197802289	-0.122645506	-0.518354439	2.097552084	1.087192418	1.061524671	3.641135256	1.008123894	-0.32476969	-0.978696158	-1.127731737	0.55734359	-0.461735545	2.993335896	-0.557963577	-0.687175309	0.045413604	0.212892587	-0.994200344	2.451811053	-0.240428542	-0.096837622	-0.071679063	-0.758634273	2.844579699	-0.557963577	-0.809278006	-0.796374601	-1.025949043	-0.698736131	-0.425695609	-0.041095639	-0.129202907	-0.74636418	0.072663246	0.995384868	0.109606761	0.15518427	-0.399493236	-0.416884979	1.402273464	0.67586219	2.131737485	1.540240241	1.576740643	-0.461735545	-0.452603062	-0.090488395	-0.340899072	0.910701781	0.263016975	0.399876157	-1.009948701	-0.332801862	-1.324442031	1.895302981	1.861730924	-0.876417309	-0.687175309	-0.023184713	-0.084179225	0.599489211	-0.349062383	-0.434584556	0.06185233	2.101801383	-0.399493236	-0.270281505	0.267451572	0.078025189	-0.568115949	-0.262734299	-0.675746613	-0.599206536	-0.225829742	-0.059333227	1.053492499	0.915342161	0.419070605	3.035049987	-0.862623986	0.293653944	-0.116130825	0.023066305	2.340233821	2.327908735	0.407598203	-1.092640417	0.664027732	-0.162650841	0.787087825	1.950238635	-1.11003216	-0.918976923	-1.302935826	-1.626722903	-1.324442031	-0.862623986	0.41143698	0.513343261	-0.73424282	-0.162650841	-1.346420938	1.864422715	1.950238635	-1.201839709	-1.346420938	-0.933575722	-1.464203973	-0.710432171	-0.722266629	-0.74636418	-0.240428542	0.034302378	0.293653944	-1.025949043	-0.588735236	-0.710432171	-0.862623986	-0.664447058	-0.771056793	0.198774706	-0.687175309	-0.687175309	-1.489521781	-1.719096223	-0.233102502	-0.382398803	-1.687347525	-1.302935826	-0.609788645
Roseburia sp. CAG:197	0.854574875	-0.562491144	0.576943139	0.130656036	0.130656036	-0.076983329	-0.244037413	0.690271824	0.302506293	0.248439072	0.066117515	-0.562491144	0.854574875	0.576943139	0.913415375	-0.076983329	0.402589752	-0.244037413	0.913415375	0.792054518	0.49356153	0.616163852	-0.444708109	-0.562491144	-0.002875356	-0.002875356	0.402589752	0.353799588	0.191280658	0.191280658	0.65390418	0.248439072	-0.076983329	0.302506293	-1.032494774	-0.696022537	-0.850173217	0.536121144	-0.244037413	0.402589752	0.248439072	0.536121144	-0.076983329	0.191280658	0.576943139	0.536121144	0.248439072	0.302506293	-0.339347593	0.130656036	-0.562491144	0.449109767	0.248439072	0.248439072	-0.076983329	-0.444708109	0.449109767	0.759264696	0.449109767	-0.002875356	0.191280658	0.130656036	0.130656036	-0.444708109	-0.339347593	0.248439072	-0.076983329	-0.696022537	0.066117515	-0.244037413	-0.244037413	-0.244037413	-0.244037413	0.066117515	-0.244037413	-0.002875356	0.130656036	0.066117515	0.536121144	-0.002875356	-0.339347593	0.130656036	-0.002875356	-0.850173217	0.353799588	0.353799588	-0.444708109	-0.339347593	0.449109767	-0.157026036	-0.002875356	0.248439072	-0.562491144	1.164729804	-1.255638325	0.191280658	-0.244037413	0.066117515	0.066117515	0.066117515	-0.002875356	-0.244037413	0.449109767	-0.076983329	0.066117515	0.353799588	0.302506293	0.066117515	-0.157026036	0.248439072	-0.562491144	0.248439072	-0.157026036	0.191280658	-0.002875356	-0.444708109	-0.562491144	0.792054518	-0.157026036	-0.339347593	0.995653474	-0.002875356	0.191280658	-0.244037413	0.248439072	0.49356153	-0.002875356	-0.157026036	-0.157026036	0.302506293	0.302506293	0.449109767	-0.244037413	0.066117515	-0.850173217	-1.032494774	-0.562491144	-1.032494774	0.130656036	0.248439072	-0.157026036	-0.339347593	-0.339347593	-0.444708109	-0.444708109	-1.032494774	-0.157026036	-0.157026036	-0.562491144	-0.562491144	0.353799588	0.353799588	-1.032494774	-0.339347593	-0.244037413	-0.157026036	-0.157026036	0.402589752	0.248439072	-1.948785505	-0.339347593	0.191280658
Ruminococcus callidus ATCC 27760	-2.434580691	3.150793553	2.114019144	2.926711475	-0.036685418	-1.74143351	0.27346951	0.42762019	-0.131995598	-3.127727871	-2.434580691	-2.029115583	0.897623819	-1.181817722	0.455791067	2.755594517	-1.181817722	0.656461762	0.656461762	2.119296201	1.659763871	4.219571829	0.130368667	-0.183288892	4.095567808	-2.029115583	3.372059169	-3.127727871	3.858838588	-0.562778514	0.585844195	3.76491377	5.325246748	-0.294514527	1.996236108	3.135670391	0.535833775	-0.825142778	-3.127727871	-0.562778514	-2.029115583	-3.127727871	-1.518289959	1.148938248	-1.74143351	2.618475319	-0.355139149	0.535833775	0.915323396	-0.642821222	1.608470577	3.416183974	-2.029115583	-1.181817722	-2.434580691	1.241719981	1.031155212	-2.029115583	1.303088927	-1.181817722	2.031327428	1.43662032	0.804097761	-1.518289959	-0.488670542	-3.127727871	-3.127727871	2.466983508	-3.127727871	1.228980955	0.966616691	-0.825142778	-0.930503294	2.228858403	1.21607755	1.634446063	4.247527907	4.097753601	1.189760242	0.656461762	1.909224731	1.572752494	1.446983107	1.291112736	4.813211891	0.861256175	0.949809572	0.983145993	-3.127727871	-2.029115583	-2.434580691	-2.029115583	4.002370639	-2.029115583	-0.183288892	0.966616691	3.014309534	-2.029115583	-2.434580691	0.398632653	0.306259333	0.42762019	-0.930503294	-0.825142778	-0.729832599	0.764092427	1.684456484	2.150386788	2.27043483	4.090448967	-2.029115583	1.266721283	-2.029115583	0.36877969	0.007766344	3.576686483	3.485656347	2.674390504	2.344542802	1.876218434	2.974830723	-0.41967767	2.013935685	0.168108995	-3.127727871	-0.642821222	0	0	-0.488670542	-2.434580691	-1.74143351	1.203005469	-3.127727871	-0.183288892	0.168108995	-0.131995598	-2.029115583	-2.434580691	-1.74143351	-1.518289959	-3.127727871	-1.04828633	-1.04828633	-3.127727871	-3.127727871	0	-1.181817722	-1.518289959	-3.127727871	-3.127727871	-1.74143351	-1.74143351	-3.127727871	-3.127727871	-3.127727871	-0.41967767	-1.335968402	-2.434580691	-1.74143351	-3.127727871	0	-1.518289959
Ruminococcus sp. CAG:17	0.889845893	-0.306404865	0.889845893	-0.386447573	0.424482643	-0.47345895	-0.674129646	0.912835411	-0.232296893	-0.386447573	-0.098765501	2.018994905	0.173168215	-0.098765501	1.06047141	-0.038140879	1.020466075	-0.098765501	1.079889496	0.817525231	1.117629824	0.347521602	-0.306404865	-0.674129646	1.639505284	0.625153339	0.59438168	0.424482643	1.405311896	0.21968823	-0.038140879	2.270309334	0.529843159	-0.232296893	-0.925444074	1.206183221	-0.674129646	0.124378051	-0.56876913	0.306699607	0.424482643	0.21968823	-0.098765501	1.117629824	0.625153339	0.842217844	-0.232296893	0.460850287	-0.674129646	0.347521602	-0.038140879	0.935308267	0.562632982	1.446133891	-0.098765501	-0.674129646	-0.163304022	2.406760436	0.73956369	0.306699607	-0.163304022	0.306699607	0.957287174	-0.56876913	-0.47345895	0.073084756	0.073084756	-0.56876913	-0.232296893	-0.791912681	-0.925444074	-0.038140879	0.019017535	0.073084756	0.073084756	0.124378051	-0.306404865	-0.386447573	0.306699607	0.21968823	-0.386447573	-0.386447573	-0.56876913	-0.791912681	0.306699607	0.999846788	0.21968823	0.264139993	0.655006302	-0.56876913	-0.386447573	-0.386447573	-0.232296893	0.912835411	-1.485059862	0.529843159	0.019017535	-0.306404865	-0.386447573	-0.386447573	-0.163304022	0.073084756	0.073084756	-0.163304022	0.019017535	0.866315395	1.377141019	0.019017535	-0.306404865	0.019017535	-0.674129646	-0.232296893	0.019017535	-0.47345895	-0.674129646	-0.791912681	-0.674129646	0.306699607	0.264139993	-0.56876913	1.222990339	-0.098765501	0.562632982	0.655006302	0.529843159	1.206183221	0.792207423	-0.47345895	-0.306404865	-1.485059862	-1.485059862	0.124378051	0.386742315	0.073084756	-1.079594754	-1.485059862	-1.485059862	-2.178207042	-0.386447573	-0.386447573	0.386742315	-0.306404865	-0.306404865	-0.56876913	-0.56876913	-0.163304022	0.21968823	0.264139993	-0.791912681	-0.306404865	-0.232296893	-0.098765501	-1.772741934	-0.232296893	-0.232296893	-0.47345895	-0.038140879	-1.485059862	-1.26191631	-1.485059862	-0.925444074	-0.386447573
Ruminococcus sp. CAG:330	-0.699426127	-0.699426127	-0.699426127	-0.006278946	-0.006278946	0	0	0	0	0	0	0	-0.699426127	-0.006278946	0	0	0	-0.699426127	0	6.554044256	0	-0.699426127	-0.699426127	-0.699426127	-0.006278946	0	-0.699426127	-0.699426127	2.245012852	-0.699426127	-0.006278946	-0.006278946	0.399186162	-0.699426127	-0.699426127	-0.699426127	0	-0.699426127	0	-0.006278946	0	0	0.399186162	-0.006278946	-0.006278946	-0.699426127	-0.699426127	-0.699426127	-0.699426127	0	5.601359668	-0.699426127	-0.699426127	0	-0.699426127	4.880303699	-0.699426127	-0.699426127	0	0	-0.699426127	-0.699426127	0	-0.699426127	-0.006278946	0	0	-0.699426127	0	-0.006278946	-0.699426127	-0.699426127	0	-0.699426127	0	0	-0.006278946	-0.699426127	0	-0.699426127	0	-0.699426127	-0.699426127	0	0.399186162	0	-0.699426127	-0.699426127	0	0	0	0	-0.699426127	-0.699426127	0	0	0.399186162	0	0	0	0	-0.699426127	0	0	0.686868234	-0.699426127	5.474359977	-0.699426127	-0.699426127	-0.006278946	0	-0.006278946	0	-0.699426127	-0.699426127	-0.699426127	-0.699426127	0	1.380015415	0	-0.699426127	1.49779845	0	4.363168906	-0.006278946	0	0	0	-0.006278946	0	0	0	0	0.399186162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.699426127	-0.699426127	-0.006278946	0	0	0	0.399186162	0	0
Treponema sp. UBA7590	0.766525942	-0.486237026	0.612375263	0.900057335	-1.179384207	-0.486237026	1.017840371	0.766525942	0.430053706	-0.486237026	1.653829137	0.766525942	0.430053706	-0.080771918	-1.179384207	0.766525942	-0.486237026	0.206910155	0.206910155	1.305522443	-0.080771918	1.017840371	0.766525942	0.766525942	0.430053706	0.206910155	1.459673123	-0.486237026	1.305522443	0.206910155	0.206910155	0.206910155	0.206910155	-0.080771918	0.206910155	-0.080771918	0.430053706	-0.080771918	-1.179384207	-0.486237026	0.206910155	-1.179384207	0.900057335	-0.486237026	0.430053706	0.612375263	0.206910155	1.218511066	-0.486237026	0.766525942	0.900057335	-0.080771918	-0.080771918	0.766525942	-1.179384207	0.430053706	0.612375263	-0.080771918	0.430053706	0.430053706	0.206910155	0.206910155	-0.080771918	0.206910155	-0.486237026	-1.179384207	-0.486237026	-0.486237026	-0.486237026	-1.179384207	-1.179384207	-0.080771918	-0.486237026	1.218511066	-0.080771918	-0.486237026	0.766525942	0.766525942	-1.179384207	-0.486237026	-0.080771918	1.017840371	0.766525942	0.766525942	0.766525942	-1.179384207	-0.486237026	-0.486237026	-1.179384207	-0.486237026	-1.179384207	-0.486237026	-0.080771918	-0.486237026	0	-0.080771918	1.305522443	-1.179384207	-1.179384207	0.430053706	0.206910155	0.206910155	0.206910155	0.430053706	0.430053706	0.430053706	0.430053706	-0.486237026	-0.486237026	0.430053706	0.612375263	0.206910155	-0.080771918	-1.179384207	-1.179384207	-0.080771918	-0.486237026	0.206910155	-0.080771918	0.206910155	-1.179384207	-0.080771918	0.612375263	-0.486237026	-1.179384207	0.206910155	-0.486237026	-1.179384207	-0.486237026	0.900057335	0.766525942	1.305522443	-1.179384207	0.430053706	0.206910155	0.612375263	-1.179384207	0	-1.179384207	-1.179384207	-0.080771918	0.766525942	0.612375263	-0.486237026	-0.486237026	0	-1.179384207	-0.486237026	0	0	0.612375263	0.430053706	0	-0.486237026	-0.486237026	0.206910155	0.430053706	0.612375263	0.766525942	-1.179384207	-1.179384207	0.206910155
